To,From,Reason for Dishing,Date,Room
divine_comedian#5493,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Oct-29-2021,🙏｜praise
"griff (💜, 💜)#8888",iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Oct-29-2021,🙏｜praise
sem  🐝#0161,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Oct-29-2021,🙏｜praise
Mount Manu#3530,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Oct-29-2021,🙏｜praise
liviade#1387,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Oct-29-2021,🙏｜praise
chuygarcia.eth#6692,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Oct-29-2021,🙏｜praise
Tam2140#9361,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Oct-29-2021,🙏｜praise
0x0#1806,iviangita#3204,for joining our community and interacting with us this week,Oct-29-2021,🙏｜praise
bfa#7705,iviangita#3204,for joining our community and interacting with us this week,Oct-29-2021,🙏｜praise
anson parker#4296,iviangita#3204,for joining our community and interacting with us this week,Oct-29-2021,🙏｜praise
jeromehartigan#6895,iviangita#3204,for joining our community and interacting with us this week,Oct-29-2021,🙏｜praise
p1gp3n#3107,iviangita#3204,for joining our community and interacting with us this week,Oct-29-2021,🙏｜praise
taxil#8577,iviangita#3204,for joining our community and interacting with us this week,Oct-29-2021,🙏｜praise
amanwithwings#0165,iviangita#3204,for joining our community and interacting with us this week,Oct-29-2021,🙏｜praise
Emma_13#2010,iviangita#3204,for joining our community and interacting with us this week,Oct-29-2021,🙏｜praise
Javi | jgonz.eth#8431,iviangita#3204,for joining our community and interacting with us this week,Oct-29-2021,🙏｜praise
nic#9212,GideonRo#3175,for her excellent feedback on the newcomer survey and reminder that we need to thoroughly embrace a welcoming spirit in all points of contact with newcomers.,Oct-29-2021,🙏｜praise
eduardovegap#0422,MS#4235,for consolidating the various onboarding docs and content into final ones and helping see the MVP through!,Nov-01-2021,🙏｜praise
nic#9212,Juankbell#7458,for the onboarding dashboard! it looks great 🙂,Nov-02-2021,🙏｜praise
nic#9212,Tam2140#9361,"for these dashboard figmas, they are excellent! So much thought went into this. You've thought of so much! Wow. I'm relaly blown away, Nic!",Nov-02-2021,🙏｜praise
Zeptimus#3359,chuygarcia.eth#6692,for attending today's Comms WG call,Nov-02-2021,🙏｜praise
durgadas#9280,chuygarcia.eth#6692,for attending today's Comms WG call,Nov-02-2021,🙏｜praise
GideonRo#3175,chuygarcia.eth#6692,for attending today's Comms WG call,Nov-02-2021,🙏｜praise
r33pich33p#6906,chuygarcia.eth#6692,for attending today's Comms WG call,Nov-02-2021,🙏｜praise
bfa#7705,chuygarcia.eth#6692,for attending today's Comms WG call,Nov-02-2021,🙏｜praise
"griff (💜, 💜)#8888",chuygarcia.eth#6692,for attending today's Comms WG call,Nov-02-2021,🙏｜praise
natesuits#4789,chuygarcia.eth#6692,for attending today's Comms WG call,Nov-02-2021,🙏｜praise
anson parker#4296,chuygarcia.eth#6692,for attending today's Comms WG call,Nov-02-2021,🙏｜praise
Lutzar#9885,chuygarcia.eth#6692,for attending today's Comms WG call,Nov-02-2021,🙏｜praise
AmwFund#0979,chuygarcia.eth#6692,for attending today's Comms WG call,Nov-02-2021,🙏｜praise
Juankbell#7458,chuygarcia.eth#6692,for attending today's Comms WG call,Nov-02-2021,🙏｜praise
acidlazzer#5796,chuygarcia.eth#6692,for attending today's Comms WG call,Nov-02-2021,🙏｜praise
nic#9212,chuygarcia.eth#6692,for attending today's Comms WG call,Nov-02-2021,🙏｜praise
David (please DYOR...)#4116,chuygarcia.eth#6692,for attending today's Comms WG call,Nov-02-2021,🙏｜praise
Tam2140#9361,chuygarcia.eth#6692,for attending today's Comms WG call,Nov-02-2021,🙏｜praise
onur#1099,chuygarcia.eth#6692,for attending today's Comms WG call,Nov-02-2021,🙏｜praise
liviade#1387,Tam2140#9361,"for that intense and powerful intro question and the shared experience in Soft Gov.: Self admiration, admiration for others felt so heartfelt.",Nov-02-2021,🙏｜praise
natesuits#4789,Zeptimus#3359,"for explaining so well aporoval voting so the rest the community agreed to use it, i tryed some days ago but i was not clear enough!",Nov-02-2021,🙏｜praise
Mount Manu#3530,Tam2140#9361,for these 63 (!!!) pages of notes for your graviton session on leadership. That you're killing it impromptu delivering this talk  without video aid right now is as impressive. It's good to see you on a platform where your natural oration skills are so well highlighted.,Nov-02-2021,🙏｜praise
"griff (💜, 💜)#8888",liviade#1387,for suggesting a simple decision and grounding a process that was becoming unnecessarily complex,Nov-02-2021,🙏｜praise
Mount Manu#3530,Juankbell#7458,"for leading the 7th graviton training session, it was super interesting to talk about the psychology of human leadership from a conflict management and trust creation lens",Nov-02-2021,🙏｜praise
Mount Manu#3530,WhyldWanderer#7002,for todays insightful graviton training. I think it is important to talk about leadership roles within decentralized organizations so that we can learn to empower those around us as well as realize the potential within ourselves to reach our goals as a whole.,Nov-02-2021,🙏｜praise
Zeptimus#3359,aka_roro#0295,for helping me get ahead of the time confusion!,Nov-02-2021,🙏｜praise
acidlazzer#5796,iviangita#3204,for his consistent work on Twitter graphics for all our weekly calls,Nov-03-2021,🙏｜praise
Zeptimus#3359,p1gp3n#3107,for hosting a params party with a noob like me 🙂,Nov-03-2021,🙏｜praise
p1gp3n#3107,Zeptimus#3359,for joining a param party today it was fun!,Nov-03-2021,🙏｜praise
Mount Manu#3530,Zeptimus#3359,for joining a param party today it was fun!,Nov-03-2021,🙏｜praise
Juankbell#7458,Zeptimus#3359,for joining a param party today it was fun!,Nov-03-2021,🙏｜praise
iviangita#3204,Zeptimus#3359,for joining a param party today it was fun!,Nov-03-2021,🙏｜praise
chuygarcia.eth#6692,Juankbell#7458,"for identifying conflicts happening in the DAOspace and how even we are not excent of them, we are trying to propose different ways of managing them",Nov-03-2021,🙏｜praise
chuygarcia.eth#6692,Juankbell#7458,"for recommending to listen ""my morning jacket"" <- It has been my weekly playlist",Nov-03-2021,🙏｜praise
Zeptimus#3359,p1gp3n#3107,for hosting a params party with a noob like me 🙂,Nov-03-2021,🙏｜praise
kristofer#1475,iviangita#3204,"for adding the Boardroom link to the TEC website, making the votes information more accessible and transparent to the community",Nov-03-2021,🙏｜praise
Lutzar#9885,chuygarcia.eth#6692,for coming to a param party I hosted <a:1397_partywizardparrot:828514959893463052>,Nov-03-2021,🙏｜praise
Mount Manu#3530,chuygarcia.eth#6692,for coming to a param party I hosted <a:1397_partywizardparrot:828514959893463052>,Nov-03-2021,🙏｜praise
p1gp3n#3107,chuygarcia.eth#6692,for coming to a param party I hosted <a:1397_partywizardparrot:828514959893463052>,Nov-03-2021,🙏｜praise
chuygarcia.eth#6692,Mount Manu#3530,for hosting a full-house Param Party 🙌🏻 🤙🏻,Nov-03-2021,🙏｜praise
UncleBimBim#1401,chuygarcia.eth#6692,for being in the orientation call even though he's in Australia and its super early 🦘,Nov-03-2021,🙏｜praise
Tam2140#9361,Mount Manu#3530,for her unwavering guidance and support,Nov-03-2021,🙏｜praise
casale.eth#6107,chuygarcia.eth#6692,for keeping his front-end talents close to the TEC <:TEC:835016327542210560>,Nov-03-2021,🙏｜praise
RodriCastillo#1415,chuygarcia.eth#6692,for another amazing flyer to help us promote Params Parties <:TEC_pink:835409756839477289>,Nov-03-2021,🙏｜praise
arvind#0302,chuygarcia.eth#6692,for attending orientation after hearing about the TEC in the ForefrontDAO podcast <:FF:828526423894654986> <:TEC:835016327542210560>,Nov-03-2021,🙏｜praise
eduardovegap#0422,UncleBimBim#1401,for facilitating the orientation call and being so great at it,Nov-03-2021,🙏｜praise
Tam2140#9361,UncleBimBim#1401,for being so helpful and always jumping in with more information during the orientation call,Nov-03-2021,🙏｜praise
eduardovegap#0422,UncleBimBim#1401,for facilitating the orientation call and being so great at it,Nov-03-2021,🙏｜praise
eduardovegap#0422,arvind#0302,for answering all the questions. It was a very helpful session,Nov-03-2021,🙏｜praise
Tam2140#9361,arvind#0302,for answering all the questions. It was a very helpful session,Nov-03-2021,🙏｜praise
Zeptimus#3359,eduardovegap#0422,"for joining an amazing Orientation call! Thank you everyone for joining and engaging! We look forward to see you more around! If you have any question, my dms are open! 😄",Nov-03-2021,🙏｜praise
casale.eth#6107,eduardovegap#0422,"for joining an amazing Orientation call! Thank you everyone for joining and engaging! We look forward to see you more around! If you have any question, my dms are open! 😄",Nov-03-2021,🙏｜praise
tigeroid#2951,eduardovegap#0422,"for joining an amazing Orientation call! Thank you everyone for joining and engaging! We look forward to see you more around! If you have any question, my dms are open! 😄",Nov-03-2021,🙏｜praise
UncleBimBim#1401,eduardovegap#0422,"for joining an amazing Orientation call! Thank you everyone for joining and engaging! We look forward to see you more around! If you have any question, my dms are open! 😄",Nov-03-2021,🙏｜praise
Lutzar#9885,eduardovegap#0422,"for joining an amazing Orientation call! Thank you everyone for joining and engaging! We look forward to see you more around! If you have any question, my dms are open! 😄",Nov-03-2021,🙏｜praise
satchel  | PST#7393,eduardovegap#0422,"for joining an amazing Orientation call! Thank you everyone for joining and engaging! We look forward to see you more around! If you have any question, my dms are open! 😄",Nov-03-2021,🙏｜praise
liviade#1387,eduardovegap#0422,"for joining an amazing Orientation call! Thank you everyone for joining and engaging! We look forward to see you more around! If you have any question, my dms are open! 😄",Nov-03-2021,🙏｜praise
Vyvy-vi#5040,eduardovegap#0422,"for joining an amazing Orientation call! Thank you everyone for joining and engaging! We look forward to see you more around! If you have any question, my dms are open! 😄",Nov-03-2021,🙏｜praise
arvind#0302,eduardovegap#0422,"for joining an amazing Orientation call! Thank you everyone for joining and engaging! We look forward to see you more around! If you have any question, my dms are open! 😄",Nov-03-2021,🙏｜praise
osycross(🦎🦎)#5943,eduardovegap#0422,"for joining an amazing Orientation call! Thank you everyone for joining and engaging! We look forward to see you more around! If you have any question, my dms are open! 😄",Nov-03-2021,🙏｜praise
Cristian.dll#0304,eduardovegap#0422,"for joining an amazing Orientation call! Thank you everyone for joining and engaging! We look forward to see you more around! If you have any question, my dms are open! 😄",Nov-03-2021,🙏｜praise
Tam2140#9361,eduardovegap#0422,"for joining an amazing Orientation call! Thank you everyone for joining and engaging! We look forward to see you more around! If you have any question, my dms are open! 😄",Nov-03-2021,🙏｜praise
Arvin#4169,eduardovegap#0422,"for joining an amazing Orientation call! Thank you everyone for joining and engaging! We look forward to see you more around! If you have any question, my dms are open! 😄",Nov-03-2021,🙏｜praise
angieberryberry#9822,eduardovegap#0422,"for joining an amazing Orientation call! Thank you everyone for joining and engaging! We look forward to see you more around! If you have any question, my dms are open! 😄",Nov-03-2021,🙏｜praise
Mount Manu#3530,eduardovegap#0422,"for joining an amazing Orientation call! Thank you everyone for joining and engaging! We look forward to see you more around! If you have any question, my dms are open! 😄",Nov-03-2021,🙏｜praise
isaaaa#0875,eduardovegap#0422,"for joining an amazing Orientation call! Thank you everyone for joining and engaging! We look forward to see you more around! If you have any question, my dms are open! 😄",Nov-03-2021,🙏｜praise
